Age Group,Type,Muscle,Exercise,No. of Reps/Duration,No. of Sets,Home,Experience,Health
13-18 years,Muscle Growth,Legs,Calf Raise Machine,10-15,2-3,No,Intermediate,No
19-35 years,Muscle Growth,Legs,Barbell Squats,8-12,3-4,No,Intermediate,No
19-35 years,Muscle Growth,Legs,Leg Press Machine,8-12,3-4,No,Intermediate,No
19-35 years,Muscle Growth,Legs,Leg Extension Machine,10-15,3-4,No,Intermediate,No
19-35 years,Muscle Growth,Legs,Leg Curl Machine,10-15,3-4,No,Intermediate,No
19-35 years,Muscle Growth,Legs,Dumbbell Lunges (per leg),8-12,3-4,No,Intermediate,No
19-35 years,Muscle Growth,Legs,Hack Squat Machine,8-12,3-4,No,Intermediate,No
19-35 years,Muscle Growth,Legs,Calf Raise Machine,10-15,3-4,No,Intermediate,No
36-60 years,Muscle Growth,Legs,Barbell Squats,8-12,3-4,No,Intermediate,No
36-60 years,Muscle Growth,Legs,Leg Press Machine,8-12,3-4,No,Intermediate,No
36-60 years,Muscle Growth,Legs,Leg Extension Machine,10-15,3-4,No,Intermediate,No
36-60 years,Muscle Growth,Legs,Leg Curl Machine,10-15,3-4,No,Intermediate,No
36-60 years,Muscle Growth,Legs,Dumbbell Lunges (per leg),8-12,3-4,No,Intermediate,No
36-60 years,Muscle Growth,Legs,Hack Squat Machine,8-12,3-4,No,Intermediate,No
36-60 years,Muscle Growth,Legs,Calf Raise Machine,10-15,3-4,No,Intermediate,No
Over 60 years,Muscle Growth,Legs,Barbell Squats,8-12,2-3,No,Intermediate,No
Over 60 years,Muscle Growth,Legs,Leg Press Machine,8-12,2-3,No,Intermediate,No
Over 60 years,Muscle Growth,Legs,Leg Extension Machine,10-15,2-3,No,Intermediate,No
Over 60 years,Muscle Growth,Legs,Leg Curl Machine,10-15,2-3,No,Intermediate,No
Over 60 years,Muscle Growth,Legs,Dumbbell Lunges (per leg),8-12,2-3,No,Intermediate,No
Over 60 years,Muscle Growth,Legs,Hack Squat Machine,8-12,2-3,No,Intermediate,No
Over 60 years,Muscle Growth,Legs,Calf Raise Machine,10-15,2-3,No,Intermediate,No
6-12 years,Muscle Growth,Glutes,Not Recommended,Not Recommended,Not Recommended,No,Intermediate,No
13-18 years,Muscle Growth,Glutes,Barbell Hip Thrusts,8-12,2-3,No,Intermediate,No
13-18 years,Muscle Growth,Glutes,Dumbbell Romanian Deadlifts,8-12,2-3,No,Intermediate,No
13-18 years,Muscle Growth,Glutes,Cable Kickbacks (per leg),10-15,2-3,No,Intermediate,No
13-18 years,Muscle Growth,Glutes,Smith Machine Sumo Squats,8-12,2-3,No,Intermediate,No
13-18 years,Muscle Growth,Glutes,Bulgarian Split Squats (per leg),8-12,2-3,No,Intermediate,No
13-18 years,Muscle Growth,Glutes,Glute Bridge (with Dumbbells),8-12,2-3,No,Intermediate,No
19-35 years,Muscle Growth,Glutes,Barbell Hip Thrusts,8-12,3-4,No,Intermediate,No
19-35 years,Muscle Growth,Glutes,Dumbbell Romanian Deadlifts,8-12,3-4,No,Intermediate,No
19-35 years,Muscle Growth,Glutes,Cable Kickbacks (per leg),10-15,3-4,No,Intermediate,No
19-35 years,Muscle Growth,Glutes,Smith Machine Sumo Squats,8-12,3-4,No,Intermediate,No
19-35 years,Muscle Growth,Glutes,Bulgarian Split Squats (per leg),8-12,3-4,No,Intermediate,No
19-35 years,Muscle Growth,Glutes,Glute Bridge (with Dumbbells),8-12,3-4,No,Intermediate,No
36-60 years,Muscle Growth,Glutes,Barbell Hip Thrusts,8-12,3-4,No,Intermediate,No
36-60 years,Muscle Growth,Glutes,Dumbbell Romanian Deadlifts,8-12,3-4,No,Intermediate,No
36-60 years,Muscle Growth,Glutes,Cable Kickbacks (per leg),10-15,3-4,No,Intermediate,No
36-60 years,Muscle Growth,Glutes,Smith Machine Sumo Squats,8-12,3-4,No,Intermediate,No
36-60 years,Muscle Growth,Glutes,Bulgarian Split Squats (per leg),8-12,3-4,No,Intermediate,No
36-60 years,Muscle Growth,Glutes,Glute Bridge (with Dumbbells),8-12,3-4,No,Intermediate,No
Over 60 years,Muscle Growth,Glutes,Barbell Hip Thrusts,8-12,2-3,No,Intermediate,No
Over 60 years,Muscle Growth,Glutes,Dumbbell Romanian Deadlifts,8-12,2-3,No,Intermediate,No
Over 60 years,Muscle Growth,Glutes,Cable Kickbacks (per leg),10-15,2-3,No,Intermediate,No
Over 60 years,Muscle Growth,Glutes,Smith Machine Sumo Squats,8-12,2-3,No,Intermediate,No
Over 60 years,Muscle Growth,Glutes,Bulgarian Split Squats (per leg),8-12,2-3,No,Intermediate,No
Over 60 years,Muscle Growth,Glutes,Glute Bridge (with Dumbbells),8-12,2-3,No,Intermediate,No
6-12 years,Muscle Growth,Core,Not Recommended,Not Recommended,Not Recommended,No,Intermediate,No
13-18 years,Muscle Growth,Core,Weighted Cable Crunches,10-15,2-3,No,Intermediate,No
13-18 years,Muscle Growth,Core,Weighted Russian Twists (each side),10-15,2-3,No,Intermediate,No
13-18 years,Muscle Growth,Core,Medicine Ball Slam,10-15,2-3,No,Intermediate,No
13-18 years,Muscle Growth,Core,Weighted Planks (Hold), 30-45 seconds,2-3,No,Intermediate,No
13-18 years,Muscle Growth,Core,Decline Weighted Sit-Ups,8-12,2-3,No,Intermediate,No
13-18 years,Muscle Growth,Core,Kneeling Cable Woodchoppers (each side),10-15,2-3,No,Intermediate,No
19-35 years,Muscle Growth,Core,Weighted Cable Crunches,10-15,3-4,No,Intermediate,No
19-35 years,Muscle Growth,Core,Weighted Russian Twists (each side),10-15,3-4,No,Intermediate,No
19-35 years,Muscle Growth,Core,Medicine Ball Slam,10-15,3-4,No,Intermediate,No
19-35 years,Muscle Growth,Core,Weighted Planks (Hold), 30-60 seconds,3-4,No,Intermediate,No
19-35 years,Muscle Growth,Core,Decline Weighted Sit-Ups,8-12,3-4,No,Intermediate,No
19-35 years,Muscle Growth,Core,Kneeling Cable Woodchoppers (each side),10-15,3-4,No,Intermediate,No
36-60 years,Muscle Growth,Core,Weighted Cable Crunches,10-15,3-4,No,Intermediate,No
36-60 years,Muscle Growth,Core,Weighted Russian Twists (each side),10-15,3-4,No,Intermediate,No
36-60 years,Muscle Growth,Core,Medicine Ball Slam,10-15,3-4,No,Intermediate,No
36-60 years,Muscle Growth,Core,Weighted Planks (Hold), 30-60 seconds,3-4,No,Intermediate,No
36-60 years,Muscle Growth,Core,Decline Weighted Sit-Ups,8-12,3-4,No,Intermediate,No
36-60 years,Muscle Growth,Core,Kneeling Cable Woodchoppers (each side),10-15,3-4,No,Intermediate,No
Over 60 years,Muscle Growth,Core,Weighted Cable Crunches,10-15,2-3,No,Intermediate,No
Over 60 years,Muscle Growth,Core,Weighted Russian Twists (each side),10-15,2-3,No,Intermediate,No
Over 60 years,Muscle Growth,Core,Medicine Ball Slam,10-15,2-3,No,Intermediate,No
Over 60 years,Muscle Growth,Core,Weighted Planks (Hold), 20-45 seconds,2-3,No,Intermediate,No
Over 60 years,Muscle Growth,Core,Decline Weighted Sit-Ups,8-12,2-3,No,Intermediate,No
Over 60 years,Muscle Growth,Core,Kneeling Cable Woodchoppers (each side),10-15,2-3,No,Intermediate,No
6-12 years,Weight Loss,None,Jumping Jacks,15-20 reps,2,Yes,Advanced,No
6-12 years,Weight Loss,None,Burpees,5-8 reps,2,Yes,Advanced,No
6-12 years,Weight Loss,None,High Knees,20-25 sec,2,Yes,Advanced,No
6-12 years,Weight Loss,None,Mountain Climbers,10-15 reps/leg,2,Yes,Advanced,No
6-12 years,Weight Loss,None,Squats,8-12 reps,2,Yes,Advanced,No
6-12 years,Weight Loss,None,Lunges,6-10 reps/leg,2,Yes,Advanced,No
6-12 years,Weight Loss,None,Push-ups,5-8 reps,2,Yes,Advanced,No
6-12 years,Weight Loss,None,Plank,15-30 sec,2,Yes,Advanced,No
6-12 years,Weight Loss,None,Bicycle Crunches,10-15 reps/side,2,Yes,Advanced,No
6-12 years,Weight Loss,None,Russian Twists,10-15 reps/side,2,Yes,Advanced,No
13-18 years,Weight Loss,None,Jumping Jacks,25-30 reps,2,Yes,Advanced,No
13-18 years,Weight Loss,None,Burpees,12-15 reps,2,Yes,Advanced,No
13-18 years,Weight Loss,None,High Knees,35-40 sec,2,Yes,Advanced,No
13-18 years,Weight Loss,None,Mountain Climbers,20-25 reps/leg,2,Yes,Advanced,No
13-18 years,Weight Loss,None,Squats,11-14 reps,2,Yes,Advanced,No
13-18 years,Weight Loss,None,Lunges,8-12 reps/leg,2,Yes,Advanced,No
13-18 years,Weight Loss,None,Push-ups,8-12 reps,2,Yes,Advanced,No
13-18 years,Weight Loss,None,Plank,40-45 sec,2,Yes,Advanced,No
13-18 years,Weight Loss,None,Bicycle Crunches,15-20 reps/side,2,Yes,Advanced,No
13-18 years,Weight Loss,None,Russian Twists,15-20 reps/side,2,Yes,Advanced,No
19-35 years,Weight Loss,None,Jumping Jacks,30-35 reps,2,Yes,Advanced,No
19-35 years,Weight Loss,None,Burpees,15-18 reps,2,Yes,Advanced,No
19-35 years,Weight Loss,None,High Knees,45-50 sec,2,Yes,Advanced,No
19-35 years,Weight Loss,None,Mountain Climbers,10-15 reps/leg,2,Yes,Advanced,No
19-35 years,Weight Loss,None,Squats,13-15 reps,2,Yes,Advanced,No
19-35 years,Weight Loss,None,Lunges,15-18 reps/leg,2,Yes,Advanced,No
19-35 years,Weight Loss,None,Push-ups,15-20 reps,2,Yes,Advanced,No
19-35 years,Weight Loss,None,Plank,1-2 min,2,Yes,Advanced,No
19-35 years,Weight Loss,None,Bicycle Crunches,20-25 reps/side,2,Yes,Advanced,No
19-35 years,Weight Loss,None,Russian Twists,20-25 reps/side,2,Yes,Advanced,No
36-60 years,Weight Loss,None,Jumping Jacks,20-25 reps,2,Yes,Advanced,No
36-60 years,Weight Loss,None,Burpees,10-12 reps,2,Yes,Advanced,No
36-60 years,Weight Loss,None,High Knees,30-35 sec,2,Yes,Advanced,No
36-60 years,Weight Loss,None,Mountain Climbers,10-15 reps/leg,2,Yes,Advanced,No
36-60 years,Weight Loss,None,Squats,9-11 reps,2,Yes,Advanced,No
36-60 years,Weight Loss,None,Lunges,6-10 reps/leg,2,Yes,Advanced,No
36-60 years,Weight Loss,None,Push-ups,6-9 reps,2,Yes,Advanced,No
36-60 years,Weight Loss,None,Plank,45-50 sec,2,Yes,Advanced,No
36-60 years,Weight Loss,None,Bicycle Crunches,15-20 reps/side,2,Yes,Advanced,No
36-60 years,Weight Loss,None,Russian Twists,15-20 reps/side,2,Yes,Advanced,No
Over 60 years,Weight Loss,None,Jumping Jacks,10-15 reps,2,Yes,Advanced,No
Over 60 years,Weight Loss,None,Burpees,5-7 reps,2,Yes,Advanced,No
Over 60 years,Weight Loss,None,High Knees,15-20 sec,2,Yes,Advanced,No
Over 60 years,Weight Loss,None,Mountain Climbers,8-10 reps/leg,2,Yes,Advanced,No
Over 60 years,Weight Loss,None,Squats,5-8 reps,2,Yes,Advanced,No
Over 60 years,Weight Loss,None,Lunges,6-10 reps/leg,2,Yes,Advanced,No
Over 60 years,Weight Loss,None,Push-ups,5-8 reps,2,Yes,Advanced,No
Over 60 years,Weight Loss,None,Plank,15-30 sec,2,Yes,Advanced,No
Over 60 years,Weight Loss,None,Bicycle Crunches,10-15 reps/side,2,Yes,Advanced,No
Over 60 years,Weight Loss,None,Russian Twists,10-15 reps/side,2,Yes,Advanced,No
6-12 years,Muscle Growth,Chest,Not recommended,Not recommended,Not recommended,Yes,Advanced,No
13-18 years,Muscle Growth,Chest,Push-Ups,5-15,2-3,Yes,Advanced,No
13-18 years,Muscle Growth,Chest,Chest Dips,5-15,2-3,Yes,Advanced,No
13-18 years,Muscle Growth,Chest,Decline Push-Ups,5-15,2-3,Yes,Advanced,No
13-18 years,Muscle Growth,Chest,Pseudo Planche Push-Ups,3-10,2-3,Yes,Advanced,No
13-18 years,Muscle Growth,Chest,Diamond Push-Ups,5-15,2-3,Yes,Advanced,No
13-18 years,Muscle Growth,Chest,Wall Push-Ups,5-15,2-3,Yes,Advanced,No
19-35 years,Muscle Growth,Chest,Push-Ups,10-30,3-4,Yes,Advanced,No
19-35 years,Muscle Growth,Chest,Chest Dips,10-30,3-4,Yes,Advanced,No
19-35 years,Muscle Growth,Chest,Decline Push-Ups,10-30,3-4,Yes,Advanced,No
19-35 years,Muscle Growth,Chest,Pseudo Planche Push-Ups,5-15,3-4,Yes,Advanced,No
19-35 years,Muscle Growth,Chest,Diamond Push-Ups,10-25,3-4,Yes,Advanced,No
19-35 years,Muscle Growth,Chest,Wall Push-Ups,10-25,3-4,Yes,Advanced,No
36-60 years,Muscle Growth,Chest,Push-Ups,5-20,3-4,Yes,Advanced,No
36-60 years,Muscle Growth,Chest,Chest Dips,5-20,3-4,Yes,Advanced,No
36-60 years,Muscle Growth,Chest,Decline Push-Ups,5-20,3-4,Yes,Advanced,No
36-60 years,Muscle Growth,Chest,Pseudo Planche Push-Ups,3-10,3-4,Yes,Advanced,No
36-60 years,Muscle Growth,Chest,Diamond Push-Ups,5-15,3-4,Yes,Advanced,No
36-60 years,Muscle Growth,Chest,Wall Push-Ups,5-15,3-4,Yes,Advanced,No
Over 60 years,Muscle Growth,Chest,Push-Ups,3-10,2-3,Yes,Advanced,No
Over 60 years,Muscle Growth,Chest,Chest Dips,3-10,2-3,Yes,Advanced,No
Over 60 years,Muscle Growth,Chest,Decline Push-Ups,3-10,2-3,Yes,Advanced,No
Over 60 years,Muscle Growth,Chest,Plank withShoulder Taps,5-10 reps/side,2-3 sets,Yes,Advanced,No
Over 60 years,Muscle Growth,Chest,Diamond Push-Ups,2-10,2-3,Yes,Advanced,No
Over 60 years,Muscle Growth,Chest,Wall Push-Ups,2-10,2-3,Yes,Advanced,No
6-12 years,Muscle Growth,Back,DoorwayShoulder Stretches,2-3 per arm,-,Yes,Advanced,No
6-12 years,Muscle Growth,Back,Superman Exercise,5-10 repetitions,-,Yes,Advanced,No
6-12 years,Muscle Growth,Back,Pull-Ups,Varies,Varies,Yes,Advanced,No
6-12 years,Muscle Growth,Back,Bodyweight Rows,Varies,Varies,Yes,Advanced,No
6-12 years,Muscle Growth,Back,Plank with Arm Raises,Varies,Varies,Yes,Advanced,No
13-18 years,Muscle Growth,Back,DoorwayShoulder Stretches,3-4 per arm,-,Yes,Advanced,No
13-18 years,Muscle Growth,Back,Superman Exercise,10-15 repetitions,-,Yes,Advanced,No
13-18 years,Muscle Growth,Back,Pull-Ups,Varies,Varies,Yes,Advanced,No
13-18 years,Muscle Growth,Back,Bodyweight Rows,Varies,Varies,Yes,Advanced,No
13-18 years,Muscle Growth,Back,Plank with Arm Raises,Varies,Varies,Yes,Advanced,No
19-35 years,Muscle Growth,Back,DoorwayShoulder Stretches,4-5 per arm,-,Yes,Advanced,No
19-35 years,Muscle Growth,Back,Superman Exercise,15-20 repetitions,-,Yes,Advanced,No
19-35 years,Muscle Growth,Back,Pull-Ups,Varies,Varies,Yes,Advanced,No
19-35 years,Muscle Growth,Back,Bodyweight Rows,Varies,Varies,Yes,Advanced,No
19-35 years,Muscle Growth,Back,Plank with Arm Raises,Varies,Varies,Yes,Advanced,No
36-60 years,Muscle Growth,Back,DoorwayShoulder Stretches,3-4 per arm,-,Yes,Advanced,No
36-60 years,Muscle Growth,Back,Superman Exercise,10-15 repetitions,-,Yes,Advanced,No
36-60 years,Muscle Growth,Back,Pull-Ups,Varies,Varies,Yes,Advanced,No
36-60 years,Muscle Growth,Back,Bodyweight Rows,Varies,Varies,Yes,Advanced,No
36-60 years,Muscle Growth,Back,Plank with Arm Raises,Varies,Varies,Yes,Advanced,No
Over 60 years,Muscle Growth,Back,DoorwayShoulder Stretches,2-3 per arm,-,Yes,Advanced,No
Over 60 years,Muscle Growth,Back,Superman Exercise,5-10 repetitions,-,Yes,Advanced,No
Over 60 years,Muscle Growth,Back,Pull-Ups,Varies,Varies,Yes,Advanced,No
Over 60 years,Muscle Growth,Back,Bodyweight Rows,Varies,Varies,Yes,Advanced,No
Over 60 years,Muscle Growth,Back,Plank with Arm Raises,Varies,Varies,Yes,Advanced,No
6-12 years,Muscle Growth,Shoulder,Pike Push-ups,5-10,2-3,Yes,Advanced,No
6-12 years,Muscle Growth,Shoulder,Shoulder Taps,5-10 per side,-,Yes,Advanced,No
6-12 years,Muscle Growth,Shoulder,Plank to Push-ups,3-5,-,Yes,Advanced,No
6-12 years,Muscle Growth,Shoulder,Wall Walks,2-4,-,Yes,Advanced,No
6-12 years,Muscle Growth,Shoulder,Arm Circles,10-20 per direction,-,Yes,Advanced,No
6-12 years,Muscle Growth,Shoulder,Bear Crawls,2-4 (forward andbackward),-,Yes,Advanced,No
6-12 years,Muscle Growth,Shoulder,Plank Shoulder Taps,5-10 per side,-,Yes,Advanced,No
13-18 years,Muscle Growth,Shoulder,Pike Push-ups,10-15,2-3,Yes,Advanced,No
13-18 years,Muscle Growth,Shoulder,Shoulder Taps,10-15 per side,-,Yes,Advanced,No
13-18 years,Muscle Growth,Shoulder,Plank to Push-ups,5-10,-,Yes,Advanced,No
13-18 years,Muscle Growth,Shoulder,Wall Walks,4-6,-,Yes,Advanced,No
13-18 years,Muscle Growth,Shoulder,Arm Circles,20-30 per direction,-,Yes,Advanced,No
13-18 years,Muscle Growth,Shoulder,Bear Crawls,4-6 (forward andbackward),-,Yes,Advanced,No
13-18 years,Muscle Growth,Shoulder,Plank Shoulder Taps,10-15 per side,-,Yes,Advanced,No
19-35 years,Muscle Growth,Shoulder,Pike Push-ups,15-20,3-4,Yes,Advanced,No
19-35 years,Muscle Growth,Shoulder,Shoulder Taps,15-20 per side,-,Yes,Advanced,No
19-35 years,Muscle Growth,Shoulder,Plank to Push-ups,10-15,-,Yes,Advanced,No
19-35 years,Muscle Growth,Shoulder,Wall Walks,6-8,-,Yes,Advanced,No
19-35 years,Muscle Growth,Shoulder,Arm Circles,30-40 per direction,-,Yes,Advanced,No
19-35 years,Muscle Growth,Shoulder,Bear Crawls,6-8 (forward andbackward),-,Yes,Advanced,No
19-35 years,Muscle Growth,Shoulder,Plank Shoulder Taps,15-20 per side,-,Yes,Advanced,No
36-60 years,Muscle Growth,Shoulder,Pike Push-ups,10-15,3-4,Yes,Advanced,No
36-60 years,Muscle Growth,Shoulder,Shoulder Taps,10-15 per side,-,Yes,Advanced,No
36-60 years,Muscle Growth,Shoulder,Plank to Push-ups,5-10,-,Yes,Advanced,No
36-60 years,Muscle Growth,Shoulder,Wall Walks,4-6,-,Yes,Advanced,No
36-60 years,Muscle Growth,Shoulder,Arm Circles,20-30 per direction,-,Yes,Advanced,No
36-60 years,Muscle Growth,Shoulder,Bear Crawls,4-6 (forward andbackward),-,Yes,Advanced,No
36-60 years,Muscle Growth,Shoulder,Plank Shoulder Taps,10-15 per side,-,Yes,Advanced,No
Over 60 years,Muscle Growth,Shoulder,Pike Push-ups,5-10,2-3,Yes,Advanced,No
Over 60 years,Muscle Growth,Shoulder,Shoulder Taps,5-10 per side,-,Yes,Advanced,No
Over 60 years,Muscle Growth,Shoulder,Plank to Push-ups,3-5,-,Yes,Advanced,No
Over 60 years,Muscle Growth,Shoulder,Wall Walks,2-4,-,Yes,Advanced,No
Over 60 years,Muscle Growth,Shoulder,Arm Circles,10-20 per direction,-,Yes,Advanced,No
Over 60 years,Muscle Growth,Shoulder,Bear Crawls,2-4 (forward andbackward),-,Yes,Advanced,No
Over 60 years,Muscle Growth,Shoulder,Plank Shoulder Taps,5-10 per side,-,Yes,Advanced,No
6-12 years,Muscle Growth,Arms,Arm Circles,10-20 per arm,-,Yes,Advanced,No
6-12 years,Muscle Growth,Arms,Chair Dips,5-15,Varies,Yes,Advanced,No
6-12 years,Muscle Growth,Arms,Pike Push-Ups,5-10,Varies,Yes,Advanced,No
6-12 years,Muscle Growth,Arms,Push-Ups,5-15,2-3,Yes,Advanced,No
6-12 years,Muscle Growth,Arms,Triceps Dips,Varies,Varies,Yes,Advanced,No
6-12 years,Muscle Growth,Arms,Diamond Push-Ups,Varies,Varies,Yes,Advanced,No
6-12 years,Muscle Growth,Arms,Inverted Rows,Varies,Varies,Yes,Advanced,No
6-12 years,Muscle Growth,Arms,Plank to Push-Ups,Varies,Varies,Yes,Advanced,No
6-12 years,Muscle Growth,Arms,Bear Crawls,Varies,Varies,Yes,Advanced,No
13-18 years,Muscle Growth,Arms,Arm Circles,15-30 per arm,-,Yes,Advanced,No
13-18 years,Muscle Growth,Arms,Chair Dips,10-30,Varies,Yes,Advanced,No
13-18 years,Muscle Growth,Arms,Pike Push-Ups,10-15,Varies,Yes,Advanced,No
13-18 years,Muscle Growth,Arms,Push-Ups,10-30,3-4,Yes,Advanced,No
13-18 years,Muscle Growth,Arms,Triceps Dips,Varies,Varies,Yes,Advanced,No
13-18 years,Muscle Growth,Arms,Diamond Push-Ups,Varies,Varies,Yes,Advanced,No
13-18 years,Muscle Growth,Arms,Inverted Rows,Varies,Varies,Yes,Advanced,No
13-18 years,Muscle Growth,Arms,Plank to Push-Ups,Varies,Varies,Yes,Advanced,No
13-18 years,Muscle Growth,Arms,Bear Crawls,Varies,Varies,Yes,Advanced,No
19-35 years,Muscle Growth,Arms,Arm Circles,20-40 per arm,-,Yes,Advanced,No
19-35 years,Muscle Growth,Arms,Chair Dips,10-30,Varies,Yes,Advanced,No
19-35 years,Muscle Growth,Arms,Pike Push-Ups,15-20,Varies,Yes,Advanced,No
19-35 years,Muscle Growth,Arms,Push-Ups,10-30,3-4,Yes,Advanced,No
19-35 years,Muscle Growth,Arms,Triceps Dips,Varies,Varies,Yes,Advanced,No
19-35 years,Muscle Growth,Arms,Diamond Push-Ups,Varies,Varies,Yes,Advanced,No
19-35 years,Muscle Growth,Arms,Inverted Rows,Varies,Varies,Yes,Advanced,No
19-35 years,Muscle Growth,Arms,Plank to Push-Ups,Varies,Varies,Yes,Advanced,No
19-35 years,Muscle Growth,Arms,Bear Crawls,Varies,Varies,Yes,Advanced,No
36-60 years,Muscle Growth,Arms,Arm Circles,15-30 per arm,-,Yes,Advanced,No
36-60 years,Muscle Growth,Arms,Chair Dips,5-20,Varies,Yes,Advanced,No
36-60 years,Muscle Growth,Arms,Pike Push-Ups,10-15,Varies,Yes,Advanced,No
36-60 years,Muscle Growth,Arms,Push-Ups,5-20,3-4,Yes,Advanced,No
36-60 years,Muscle Growth,Arms,Triceps Dips,Varies,Varies,Yes,Advanced,No
36-60 years,Muscle Growth,Arms,Diamond Push-Ups,Varies,Varies,Yes,Advanced,No
36-60 years,Muscle Growth,Arms,Inverted Rows,Varies,Varies,Yes,Advanced,No
36-60 years,Muscle Growth,Arms,Plank to Push-Ups,Varies,Varies,Yes,Advanced,No
36-60 years,Muscle Growth,Arms,Bear Crawls,Varies,Varies,Yes,Advanced,No
Over 60 years,Muscle Growth,Arms,Arm Circles,10-20 per arm,-,Yes,Advanced,No
Over 60 years,Muscle Growth,Arms,Chair Dips,3-10,Varies,Yes,Advanced,No
Over 60 years,Muscle Growth,Arms,Pike Push-Ups,5-10,Varies,Yes,Advanced,No
Over 60 years,Muscle Growth,Arms,Push-Ups,3-10,2-3,Yes,Advanced,No
Over 60 years,Muscle Growth,Arms,Triceps Dips,Varies,Varies,Yes,Advanced,No
Over 60 years,Muscle Growth,Arms,Diamond Push-Ups,Varies,Varies,Yes,Advanced,No
Over 60 years,Muscle Growth,Arms,Inverted Rows,Varies,Varies,Yes,Advanced,No
Over 60 years,Muscle Growth,Arms,Plank to Push-Ups,Varies,Varies,Yes,Advanced,No
Over 60 years,Muscle Growth,Arms,Bear Crawls,Varies,Varies,Yes,Advanced,No
6-12 years,Muscle Growth,Legs,Squats,10-20,2-3,Yes,Advanced,No
6-12 years,Muscle Growth,Legs,Lunges,10-15 per leg,2-3,Yes,Advanced,No
6-12 years,Muscle Growth,Legs,Bulgarian Split Squats,6-10 per leg,2-3,Yes,Advanced,No
6-12 years,Muscle Growth,Legs,Calf Raises,10-15,2-3,Yes,Advanced,No
6-12 years,Muscle Growth,Legs,Glute Bridges,8-12,2-3,Yes,Advanced,No
6-12 years,Muscle Growth,Legs,Step-Ups,8-12 per leg,2-3,Yes,Advanced,No
6-12 years,Muscle Growth,Legs,Wall Sits,20-30 sec,2-3,Yes,Advanced,No
6-12 years,Muscle Growth,Legs,Jump Squats,8-12,2-3,Yes,Advanced,No
13-18 years,Muscle Growth,Legs,Squats,20-30,2-3,Yes,Advanced,No
13-18 years,Muscle Growth,Legs,Lunges,15-20 per leg,2-3,Yes,Advanced,No
13-18 years,Muscle Growth,Legs,Bulgarian Split Squats,10-15 per leg,2-3,Yes,Advanced,No
13-18 years,Muscle Growth,Legs,Calf Raises,15-20,2-3,Yes,Advanced,No
13-18 years,Muscle Growth,Legs,Glute Bridges,12-15,2-3,Yes,Advanced,No
13-18 years,Muscle Growth,Legs,Step-Ups,12-15 per leg,2-3,Yes,Advanced,No
13-18 years,Muscle Growth,Legs,Wall Sits,30-45 sec,2-3,Yes,Advanced,No
13-18 years,Muscle Growth,Legs,Jump Squats,12-15,2-3,Yes,Advanced,No
19-35 years,Muscle Growth,Legs,Squats,30-40,2-3,Yes,Advanced,No
19-35 years,Muscle Growth,Legs,Lunges,20-25 per leg,2-3,Yes,Advanced,No
19-35 years,Muscle Growth,Legs,Bulgarian Split Squats,15-20 per leg,2-3,Yes,Advanced,No
19-35 years,Muscle Growth,Legs,Calf Raises,20-30,2-3,Yes,Advanced,No
19-35 years,Muscle Growth,Legs,Glute Bridges,15-20,2-3,Yes,Advanced,No
19-35 years,Muscle Growth,Legs,Step-Ups,15-20 per leg,2-3,Yes,Advanced,No
19-35 years,Muscle Growth,Legs,Wall Sits,45-60 sec,2-3,Yes,Advanced,No
19-35 years,Muscle Growth,Legs,Jump Squats,15-20,2-3,Yes,Advanced,No
36-60 years,Muscle Growth,Legs,Squats,20-30,2-3,Yes,Advanced,No
36-60 years,Muscle Growth,Legs,Lunges,15-20 per leg,2-3,Yes,Advanced,No
36-60 years,Muscle Growth,Legs,Bulgarian Split Squats,10-15 per leg,2-3,Yes,Advanced,No
36-60 years,Muscle Growth,Legs,Calf Raises,15-25,2-3,Yes,Advanced,No
36-60 years,Muscle Growth,Legs,Glute Bridges,12-15,2-3,Yes,Advanced,No
36-60 years,Muscle Growth,Legs,Step-Ups,12-15 per leg,2-3,Yes,Advanced,No
36-60 years,Muscle Growth,Legs,Wall Sits,30-45 sec,2-3,Yes,Advanced,No
36-60 years,Muscle Growth,Legs,Jump Squats,12-15,2-3,Yes,Advanced,No
Over 60 years,Muscle Growth,Legs,Squats,10-20,2-3,Yes,Advanced,No
Over 60 years,Muscle Growth,Legs,Lunges,10-15 per leg,2-3,Yes,Advanced,No
Over 60 years,Muscle Growth,Legs,Bulgarian Split Squats,6-10 per leg,2-3,Yes,Advanced,No
Over 60 years,Muscle Growth,Legs,Calf Raises,10-15,2-3,Yes,Advanced,No
Over 60 years,Muscle Growth,Legs,Glute Bridges,8-12,2-3,Yes,Advanced,No
Over 60 years,Muscle Growth,Legs,Step-Ups,8-12 per leg,2-3,Yes,Advanced,No
Over 60 years,Muscle Growth,Legs,Wall Sits,20-30 sec,2-3,Yes,Advanced,No
Over 60 years,Muscle Growth,Legs,Jump Squats,8-12,2-3,Yes,Advanced,No
6-12 years,Muscle Growth,Glutes,Clamshells,10-15,-,Yes,Advanced,No
6-12 years,Muscle Growth,Glutes,Donkey Kicks,10-15,-,Yes,Advanced,No
6-12 years,Muscle Growth,Glutes,Fire Hydrants,10-15,-,Yes,Advanced,No
6-12 years,Muscle Growth,Glutes,Glute Bridges,10-15,-,Yes,Advanced,No
6-12 years,Muscle Growth,Glutes,Step-ups,10-15 per leg,-,Yes,Advanced,No
